Open,Close,Volume
335.600006,355.666656,92713200
357.890015,364.646667,71145900
369.829987,362.823334,60324000
366.213318,362.063324,56154000
353.776672,356.779999,47040900
357.813324,352.26001,40733700
382.583344,399.926666,103931400
396.516663,383.196655,100248300
382.216675,362.706665,80119800
359,354.899994,90336600
360.123322,342.320007,84164700
333.333344,352.706665,91815000
351.223328,354.799988,66063300
359.616669,368.73999,83739000
369.690002,343.853333,97209900
339.959991,349.869995,72924300
342.203339,343.503326,66743400
347.236664,331.883331,75442500
336.57666,332.089996,70488600
332.113342,314.633331,103416000
301.58667,310,151565700
304.733337,306.133331,86595900
317.476654,312.470001,104867400
311.119995,276.366669,147109500
277.186676,282.116669,134789100
290.90332,312.23999,104436000
311.736664,310.416656,73138200
309.393341,301.886658,66792900
294,297.046661,78855600
299.073334,307.773346,73625400
307.929993,302.446655,60994500
301.843323,307.333344,50729100
311.666656,310.666656,52259400
302.790009,301.516663,66126900
303.209991,286.666656,79645800
287.190002,291.920013,67756500
300,307.476654,57286200
304.683319,307.796661,51294300
304.420013,292.116669,55178400
295.333344,285.660004,68501700
278.043335,273.843323,83288100
276.809998,254.679993,95256900
233.463333,266.92334,135322200
269.743347,269.956665,76067700
271.670013,290.143341,99006900
289.893341,288.123322,74766900
290.709991,293.296661,74643300
292.92334,279.763336,61623600
283.033325,279.429993,66999600
285.433319,268.193329,72494100
265.176666,274.799988,80399100
279.82666,286.323334,59184000
283.816681,279.433319,58648500
280.066681,265.116669,67037100
260.203339,255.456665,71152200
258.42334,267.296661,66841200
269.666656,280.07666,84028800
276.996674,290.533325,66582900
291.496674,301.796661,100414200
304.993347,307.053345,81981600
310,331.32666,105868500
326.646667,333.036682,120676200
336.57666,337.973328,68920800
336,336.880005,62031600
355.033325,363.946655,102506100
369.329987,366.523346,73614900
363.723328,364.66333,59865000
364.856659,359.200012,48992700
360.383331,361.529999,54263100
363.126678,381.816681,82035900
378.766663,363.753326,80075100
357.823334,348.58667,89348400
350.796661,352.420013,79447200
347.736664,341.829987,55013700
326.799988,325.309998,59357100
332.546661,328.983337,65976000
327.026672,340.790009,55121100
333.09668,328.333344,58422300
329.676666,334.763336,51715200
335.019989,342.716675,49847700
343.333344,325.733337,70711200
358.243347,336.26001,105416400
338.303345,335.016663,69696600
326.323334,332.67334,68341200
331.809998,292.140015,136133700
299.526672,293.83667,76956300
299.993347,292.503326,124948500
300.75,290.253326,88133100
286.92334,300.980011,75781500
301.059998,303.083344,63709500
301.313324,317.540009,81643800
313.006653,291.093323,92519100
295.666656,288.549988,72903000
278.816681,262.369995,90810300
273.103333,266.679993,84401700
265,244.666672,97224600
233.666672,242.666672,140313000
257.82666,256.529999,92150700
255.720001,241.456665,86098500
249.119995,253.869995,80236200
248.17334,236.603333,87811800
235.666672,236.473328,90296700
237.996674,221.300003,144973200
218.339996,224.96666,88903500
217.843338,209.386673,89092500
207.949997,219.600006,92139300
220.473328,235.910004,106003200
241.083328,253.210007,89295000
257.946655,252.753326,101914500
251.720001,246.789993,77247900
244.156662,258.333344,93473100
243.226669,234.516663,112393800
244.353333,238.279999,84204600
234,238.886673,72808500
240.08667,241.866669,76210500
249.339996,239.706665,96491400
235.156662,232.229996,97536600
223.166672,215.736664,102767400
218.286667,220.889999,97988700
220.916672,233,119131800
222.736664,213.100006,107390700
213.433334,216.759995,92641800
224.603333,237.036667,122793000
234.503326,236.08667,101107500
237.906662,235.070007,104202600
237.470001,245.706665,95770800
249.366669,244.919998,89178300
244.483337,232.66333,90391200
230.5,228.490005,82897200
224.509995,224.473328,94600500
227,227.263336,74460300
223,233.066666,84581100
230.779999,231.733337,71853600
233.919998,244.543335,81930600
242.333328,250.763336,101854200
252.103333,234.343338,99241200
236.846664,233.070007,87930900
225.5,237.039993,97954500
234.896667,238.313339,78557400
240,240.066666,69683100
244.936661,240.546661,82537500
245,245.529999,80890200
246.78334,247.5,88864200
255.106674,271.706665,142032300
276.220001,272.243347,103472700
272.216675,268.433319,64073400
266.513336,258.859985,66820800
263.809998,274.820007,88110000
280.066681,280.899994,84723000
280.700012,297.149994,95313000
301.276672,297.276672,117042900
294.003326,300.58667,95577600
305,307.396667,80091000
311,308.633331,72256200
302.670013,288.170013,113172900
295,290.42334,98994000
290.293335,283.333344,86244600
297.066681,294.356659,94918800
296.513336,286.630005,70155000
289.416656,300.029999,79657200
301.786682,309.320007,89359200
311.666656,306.563324,88136400
303.396667,303.996674,68766000
306,302.869995,47500500
299,296.666656,61395300
291.91333,289.91333,55843200
291.453339,296.453339,63984900
297.563324,297.09668,57259800
302.359985,296.070007,53230000
297.429993,288.089996,57163900
282.829987,284.820007,41864700
287.869995,277.700012,50541800
280.619995,275.609985,52107300
272.579987,277.160004,54287000
281.070007,270.209991,50890100
272.679993,274.420013,55860000
273.100006,283.700012,50028900
281.299988,289.26001,53713100
291.670013,299.679993,54338100
300.720001,304.420013,48674600
292.899994,292.130005,68229600
292.23999,302.609985,72628700
301.829987,303.75,64795500
299.609985,303.350006,87087800
300.089996,309.070007,60231200
306.910004,308.730011,61642800
308.290009,300.799988,62555700
299.859985,288.589996,70545400
283.089996,275.329987,63748400
271.829987,276.01001,58076900
283.839996,282.940002,61925200
283.079987,287.809998,54664800
282.76001,268.209991,77620600
266.149994,265.25,67726600
254.5,242.399994,98363500
250.520004,249.440002,109578500
245.009995,240.809998,86982700
239.440002,238.130005,69298400
233.940002,223.070007,83916800
223.929993,222.960007,67925000
220.949997,216.5,77013200
215.330002,217.240005,66860700
208.300003,221.720001,91483000
224.009995,204.990005,94124500
210.039993,219.350006,79428800
229.5,220.190002,75891900
219.800003,222.039993,66571500
208.279999,207.279999,117798100
206.419998,214.440002,75713800
205.820007,211.25,100446800
210.100006,222.419998,96507900
219.399994,224.639999,85012500
229.770004,225.089996,61638800
225.399994,228.520004,69152400
226.190002,227.539993,61554300
234.050003,227.820007,62688800
226.039993,214.979996,63070300
211.360001,215.309998,56538800
222.600006,207.470001,98622200
208.649994,197.080002,93916500
194.020004,191.300003,128803400
190.779999,177.589996,127062700
189.899994,190.720001,132703000
186,195.970001,114403600
192.770004,190.949997,92226600
195.880005,194.419998,91293800
191.509995,186.919998,66567600
183.960007,183.169998,64336000
185.050003,180.190002,76048900
175.850006,167.869995,92882700
168.630005,169.910004,78452300
173.570007,183.199997,109536700
185.059998,182.860001,50672700
179.960007,182.919998,92905200
184.990005,180.830002,83357100
182.429993,194.699997,109186400
197.080002,194.699997,80046200
191.779999,194.860001,73533400
189.440002,182.449997,93122700
181.220001,179.820007,92150800
175.029999,174.039993,84213300
172.199997,173.440002,97624500
173.839996,179.050003,104746600
176.100006,167.820007,109794500
174.869995,160.949997,175862700
159.25,156.800003,140682300
153.440002,157.669998,122334500
159.639999,150.229996,138459600
154,149.869995,139390600
146.050003,137.800003,159563300
139.339996,137.570007,145417400
136,125.349998,208580600
